"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Tryon Medical Partners, PLLC","NC","Healthcare Provider","701","03/27/2020","Unauthorized Access/Disclosure","Email","No",""
"Stockdale Radiology","CA","Healthcare Provider","10700","03/27/2020","Hacking/IT Incident","Desktop Computer","No",""
"UHHS Samaritan Medical Center","OH","Healthcare Provider","903","03/26/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"David S Daley, DMD","AZ","Healthcare Provider","1000","03/26/2020","Theft","Network Server","No",""
"New Jersey Department of Human Services","NJ","Health Plan","2300","03/25/2020","Hacking/IT Incident","Network Server","No",""
"VA Sierra Nevada Health Care System","NV","Healthcare Provider","702","03/25/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"FACKLER FAMILY CHIROPRACTIC, LLC","OH","Healthcare Provider","1731","03/23/2020","Theft","Paper/Films","No",""
"Health Care Service Corporation","IL","Health Plan","575","03/23/2020","Unauthorized Access/Disclosure","Email","No",""
"Ambry Genetics Corporation","CA","Healthcare Provider","232772","03/22/2020","Hacking/IT Incident","Email","No",""
"University of Utah","UT","Healthcare Provider","3670","03/21/2020","Hacking/IT Incident","Email","No",""
"Golden Valley Health Centers","CA","Healthcare Provider","39700","03/20/2020","Hacking/IT Incident","Email","No",""
"Otis R. Bowen Center for Human Services","IN","Healthcare Provider","35804","03/20/2020","Hacking/IT Incident","Email","No",""
"Virginia Department of Behavioral Health and Developmental Services","VA","Healthcare Provider","657","03/20/2020","Unauthorized Access/Disclosure","Email","No",""
"Hawaii Pacific Health","HI","Business Associate","836","03/19/2020","Loss","Paper/Films","Yes",""
"Hawaii Pacific Health","HI","Business Associate","3772","03/17/2020","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"Augusta Foot & Ankle, P.C.","GA","Healthcare Provider","4854","03/17/2020","Hacking/IT Incident","Network Server","No",""
"Tandem Diabetes Care, Inc.","CA","Healthcare Provider","140781","03/17/2020","Hacking/IT Incident","Email","No",""
"Lakewood Health System","MN","Healthcare Provider","1415","03/16/2020","Hacking/IT Incident","Email","No",""
"Hao Rong DDS Inc dba Genuine Care Dental","CA","Healthcare Provider","2190","03/14/2020","Theft","Network Server","No",""
"Randleman Eye Center","NC","Healthcare Provider","19556","03/13/2020","Hacking/IT Incident","Network Server","No",""
"Allegheny County, PA","PA","Health Plan","3394","03/13/2020","Unauthorized Access/Disclosure","Network Server","No",""
"TriHealth Cancer Institute","OH","Healthcare Provider","912","03/13/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Foundation Medicine, Inc.","MA","Healthcare Provider","2999","03/13/2020","Hacking/IT Incident","Email","No",""
"North Texas Institute of Neurology and Headache","TX","Healthcare Provider","500","03/13/2020","Theft","Laptop","Yes",""
"Northeast Radiology","NY","Healthcare Provider","298532","03/11/2020","Hacking/IT Incident","Network Server","Yes",""
"The Prudential Insurance Company of America","NJ","Health Plan","1945","03/11/2020","Hacking/IT Incident","Network Server","Yes",""
"OneDigital Health and Benefits","GA","Business Associate","22894","03/06/2020","Theft","Laptop","Yes",""
"Torrance Memorial Medical Center","CA","Healthcare Provider","3448","03/06/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Stephan C Dean","CA","Business Associate","70000","03/04/2020","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email","Yes",""
"Elk Ridge Dentistry","CO","Healthcare Provider","2793","03/02/2020","Theft","Other Portable Electronic Device","No",""
"Alameda Alliance for Health","CA","Health Plan","500","02/28/2020","Hacking/IT Incident","Network Server","No",""
"Walgreen Co. ","IL","Healthcare Provider","6681","02/28/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Ozark Orthopaedics, PA","AR","Healthcare Provider","15240","02/28/2020","Hacking/IT Incident","Email","No",""
"Vail Clinic, Inc. dba Vail Health Hospital ","CO","Healthcare Provider","710","02/27/2020","Unauthorized Access/Disclosure","Network Server, Other Portable Electronic Device","No",""
"Harris County Hospital District d/b/a Harris Health System ","TX","Healthcare Provider","2298","02/27/2020","Loss","Paper/Films","No",""
"Interactive Medical Systems, Corp.","NC","Business Associate","15010","02/27/2020","Hacking/IT Incident","Email","Yes",""
"Munson Healthcare","MI","Healthcare Provider","75202","02/26/2020","Hacking/IT Incident","Email","No",""
"AFTRA Retirement Fund","NY","Business Associate","57207","02/25/2020","Hacking/IT Incident","Network Server","Yes",""
"Engage Behavioral Health","FL","Healthcare Provider","650","02/24/2020","Hacking/IT Incident","Email","No",""
"Government Employees Health Association, Inc.","MO","Health Plan","696","02/22/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Rady Children's Hospital San Diego","CA","Healthcare Provider","2360","02/21/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Rainbow Hospice Care, Inc.","WI","Healthcare Provider","2029","02/21/2020","Hacking/IT Incident","Email","No",""
"The Queen’s Health Systems Affiliated Covered Entity","HI","Healthcare Provider","2852","02/20/2020","Unauthorized Access/Disclosure","Email","No",""
"Endeavor Energy Resources, L.P. ","TX","Health Plan","5103","02/20/2020","Hacking/IT Incident","Email","No",""
"Lake County Health Department","IL","Healthcare Provider","14488","02/19/2020","Unauthorized Access/Disclosure","Email","No",""
"SOLO Laboratories, Inc.","PA","Business Associate","60000","02/18/2020","Hacking/IT Incident","Network Server","Yes",""
"East House Corporation","NY","Healthcare Provider","737","02/17/2020","Hacking/IT Incident","Email","No",""
"NCH Healthcare System, Inc. ","FL","Healthcare Provider","63581","02/17/2020","Hacking/IT Incident","Email","No",""
"Armada Physical Therapy of Albuquerque, LLC","NM","Healthcare Provider","500","02/17/2020","Theft","Desktop Computer","No",""
"Monroe County Hospital & Clinics","IA","Healthcare Provider","7573","02/17/2020","Hacking/IT Incident","Email","No",""
"BST & Co. CPAs, LLP","NY","Business Associate","170000","02/16/2020","Hacking/IT Incident","Network Server","Yes",""
"Avalon Health Care Management, Inc.","UT","Business Associate","14500","02/14/2020","Hacking/IT Incident","Email","Yes",""
"United Regional Health Care System","TX","Healthcare Provider","1893","02/14/2020","Hacking/IT Incident","Email","No",""
"Aveanna Healthcare","GA","Healthcare Provider","166077","02/14/2020","Hacking/IT Incident","Email","No",""
"James F. Collette DDS & David N. Hamilton DDS PLLC","WA","Healthcare Provider","552","02/14/2020","Hacking/IT Incident","Email","No",""
"Tennessee Orthopaedic Alliance ","TN","Healthcare Provider","81146","02/14/2020","Hacking/IT Incident","Email","No",""
"Peregrine Corporation d/b/a PSL Services","ME","Healthcare Provider","501","02/14/2020","Hacking/IT Incident","Email","No",""
"Audiology Services Company USA, LLC","FL","Healthcare Provider","3917","02/13/2020","Hacking/IT Incident","Email","No",""
"Walmart Inc.","AR","Healthcare Provider","3606","02/12/2020","Loss","Paper/Films","No",""
"SAMA HealthCare Services","AR","Healthcare Provider","7524","02/12/2020","Improper Disposal","Paper/Films","Yes",""
"Lakewood Resource and Referral Center dba Center for Health Education, Medicine and Dentistry","NJ","Healthcare Provider","12414","02/12/2020","Hacking/IT Incident","Network Server","No",""
"Relation Insurance, Inc., d/b/a Relation Insurance Services of Georgia ","GA","Business Associate","4335","02/11/2020","Hacking/IT Incident","Email","Yes",""
"VibrantCare Rehabilitation, Inc.","CA","Healthcare Provider","1655","02/08/2020","Hacking/IT Incident","Email","No",""
"Overlake Medical Center & Clinics","WA","Healthcare Provider","109000","02/07/2020","Hacking/IT Incident","Email","No",""
"Shields Health Solutions","MA","Business Associate","1277","02/07/2020","Hacking/IT Incident","Email","Yes",""
"JDC Healthcare Management","TX","Healthcare Provider","45748","02/07/2020","Hacking/IT Incident","Email","No",""
"Vision Care Specialists, P.C. a part of MyEyeDr. Optometry of Colorado, P.C.","VA","Healthcare Provider","1475","02/07/2020","Hacking/IT Incident","Network Server","No",""
"Kaiser Health Plan, Southern California","CA","Health Plan","500","02/06/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Health Share of Oregon","OR","Health Plan","654362","02/05/2020","Theft","Laptop","Yes",""
"UnitedHealth Group Health Plan Single Affiliated Covered Entity","MN","Health Plan","3335","02/04/2020","Hacking/IT Incident","Network Server","Yes",""
"Arizona Pain and Spine Institute","AZ","Healthcare Provider","530","02/03/2020","Theft","Laptop","No",""
"Iredell-Statesville Schools Board of Eduction","NC","Health Plan","959","02/03/2020","Hacking/IT Incident","Email","Yes",""
"MHMR Tarrant County","TX","Healthcare Provider","6524","01/31/2020","Hacking/IT Incident","Email","No",""
"Hospital Sisters Health System","IL","Healthcare Provider","16167","01/31/2020","Hacking/IT Incident","Email","No",""
"Lake County Behavioral Health Services","CA","Healthcare Provider","1178","01/31/2020","Theft","Paper/Films","No",""
"Virginia Department of Medical Assistance Services","VA","Health Plan","6120","01/31/2020","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Robert S. Smith MD Inc DBA Boston Scientific Pathology","GA","Healthcare Provider","6940","01/31/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Personal Touch Home Care of W. VA, Inc.","WV","Healthcare Provider","1169","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Hospice of VA, Inc.","VA","Healthcare Provider","1657","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Care of Mass., Inc.","NY","Healthcare Provider","2015","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Services of San Antonio, Inc.","TX","Healthcare Provider","5930","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home-Aides, Inc.","NY","Healthcare Provider","2633","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Services of Dallas, Inc.","TX","Healthcare Provider","1700","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Care of S.E. Mass., Inc.","NY","Healthcare Provider","2863","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Aides Inc.","NY","Healthcare Provider","1890","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Care of PA, Inc.","NY","Healthcare Provider","9302","01/28/2020","Hacking/IT Incident","Network Server","Yes",""
"Personal Touch Home Care of Ohio, Inc.","NY","Healthcare Provider","15808","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Care of Greater Portsmouth, Inc.","NY","Healthcare Provider","1957","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Aides of Baltimore, Inc.","NY","Healthcare Provider","804","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Care of Baltimore, Inc.","NY","Healthcare Provider","9058","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Central Kansas Orthopedic Group, LLC","KS","Healthcare Provider","17214","01/28/2020","Hacking/IT Incident","Network Server","No",""
"Personal Touch Home Care of Indiana, Inc.","IN","Healthcare Provider","3593","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Personal Touch Home Aides of New York, Inc.","NY","Healthcare Provider","38693","01/28/2020","Hacking/IT Incident","Network Server, Other","Yes",""
"Cedarbrook Senior Care and Rehabilitation / County of Lehigh","PA","Healthcare Provider","688","01/24/2020","Unauthorized Access/Disclosure","Email","No",""
"Lafayette Regional Rehabilitation Hospital","IN","Healthcare Provider","1360","01/24/2020","Hacking/IT Incident","Desktop Computer, Email, Other","No",""
"Village Senior Services Corporation d/b/a VillageCareMAX","NY","Health Plan","2645","01/24/2020","Hacking/IT Incident","Email, Other","No",""
"Village Center for Care d/b/a VillageCare Rehabilitative and Nursing Center","NY","Healthcare Provider","674","01/24/2020","Hacking/IT Incident","Email, Other","No",""
"Manchester Ophthalmology, LLC","CT","Healthcare Provider","6846","01/24/2020","Hacking/IT Incident","Network Server","No",""
"REVA, INC. ","FL","Healthcare Provider","1000","01/22/2020","Hacking/IT Incident","Email","No",""
"UnitedHealth Group Health Plan Single Affiliated Covered Entity","MN","Health Plan","934","01/22/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"The Center for Neurological and Neurodevelopmental Health ","NJ","Healthcare Provider","11747","01/21/2020","Hacking/IT Incident","Email","No",""
"Solara Medical Supplies, LLC","CA","Healthcare Provider","1531","01/17/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Fondren Orthopedic Group L.L.P.","TX","Healthcare Provider","30049","01/17/2020","Hacking/IT Incident","Network Server","No",""
"Roper St. Francis Healthcare","SC","Healthcare Provider","1634","01/17/2020","Improper Disposal","Paper/Films","No",""
"Phoenix Children’s Hospital","AZ","Healthcare Provider","1860","01/14/2020","Hacking/IT Incident","Email","No",""
"Children's Hope Alliance","NC","Healthcare Provider","4564","01/14/2020","Hacking/IT Incident","Email","No",""
"PIH Health","CA","Healthcare Provider","199548","01/10/2020","Hacking/IT Incident","Email","No",""
"Spectrum Healthcare Partners","ME","Healthcare Provider","11308","01/10/2020","Hacking/IT Incident","Email","No",""
"CAH Holdings, Inc. ","AL","Business Associate","1158","01/06/2020","Hacking/IT Incident","Email","Yes",""
"RCM Enterprise Services, Inc.","FL","Business Associate","5965","01/06/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Native American Rehabilitation Association of the Northwest, Inc.","OR","Healthcare Provider","25187","01/03/2020","Hacking/IT Incident","Email","No",""
"Lawrenceville Internal Medicine Assoc, LLC","NJ","Healthcare Provider","8031","01/02/2020","Unauthorized Access/Disclosure","Email","No",""
"SEES Group, LLC","TN","Healthcare Provider","13000","12/31/2019","Hacking/IT Incident","Email","No",""
"Life Line Screening of America, Ltd.","TX","Healthcare Provider","2802","12/30/2019","Hacking/IT Incident","Network Server","Yes",""
"The Center for Facial Restoration, Inc.","FL","Healthcare Provider","3600","12/26/2019","Hacking/IT Incident","Network Server","No",""
"btyDENTAL","AK","Healthcare Provider","2008","12/26/2019","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server","No",""
"Baylor Miraca Genetics Laboratories, LLC d/b/a Baylor Genetics","TX","Business Associate","1240","12/24/2019","Hacking/IT Incident","Email","Yes",""
"PediHEalth, PLLC, dba Children's Choice Pediatrics","TX","Healthcare Provider","12689","12/20/2019","Hacking/IT Incident","Network Server","No",""
"Roosevelt General Hospital","NM","Healthcare Provider","28847","12/19/2019","Hacking/IT Incident","Network Server","No",""
"Texas Family Psychology Associates, P.C.","TX","Healthcare Provider","12000","12/17/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"San Francisco Department of Public Health - Zuckerberg SF General Hospital","CA","Healthcare Provider","1174","12/16/2019","Improper Disposal","Paper/Films","No",""
"Texas Children's Hospital","TX","Healthcare Provider","597","12/16/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"North Ottawa Community Health System","MI","Healthcare Provider","4013","12/16/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"INTEGRIS Health, Inc.","OK","Healthcare Provider","500","12/16/2019","Loss","Other Portable Electronic Device","No",""
"Western Health Advantage","CA","Health Plan","869","12/13/2019","Unauthorized Access/Disclosure","Network Server","Yes",""
"Vimly Benefit Solutions, Inc.","WA","Business Associate","2675","12/13/2019","Hacking/IT Incident","Email","Yes",""
"Sinai Health System","IL","Healthcare Provider","12578","12/13/2019","Hacking/IT Incident","Email","No",""
"Prestige Health Choice","FL","Health Plan","4662","12/13/2019","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"Therapeutic Oasis of the Palm Beaches LLC","FL","Healthcare Provider","1100","12/13/2019","Theft","Desktop Computer","No",""
"Marion Eye Center, LTD.","IL","Healthcare Provider","811","12/13/2019","Loss","Paper/Films","No",""
"Jewish Social Service Agency","MD","Healthcare Provider","3145","12/12/2019","Hacking/IT Incident","Email","No",""
"Cheyenne Regional Medical Center","WY","Healthcare Provider","17549","12/10/2019","Hacking/IT Incident","Email","No",""
"Starmount Life Insurance Company","LA","Health Plan","630","12/09/2019","Hacking/IT Incident","Email","No",""
"Anwan Wellness LLC","GA","Healthcare Provider","530","12/09/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Family Care Medical Specialists Group, Inc.","CA","Healthcare Provider","2490","12/08/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Adventist Health Simi Valley","CA","Healthcare Provider","62000","12/06/2019","Hacking/IT Incident","Email","No",""
"Children’s Hope Alliance","NC","Healthcare Provider","1002","12/06/2019","Theft","Laptop","No",""
"Beech Brook","OH","Healthcare Provider","2636","12/06/2019","Hacking/IT Incident","Email","No",""
"Speight Family Medical, LLC","TN","Healthcare Provider","2000","12/06/2019","Hacking/IT Incident","Network Server","No",""
"Equinox, Inc.","NY","Healthcare Provider","1021","12/06/2019","Hacking/IT Incident","Email","No",""
"Conway Medical Center","SC","Healthcare Provider","2550","12/05/2019","Hacking/IT Incident","Electronic Medical Record, Email","No",""
"Sunrise Community Health","CO","Healthcare Provider","7668","12/05/2019","Hacking/IT Incident","Email","No",""
"Walgreen Co.","IL","Healthcare Provider","3700","12/03/2019","Hacking/IT Incident","Electronic Medical Record, Other","No",""
"Healthcare Administrative Partners","PA","Business Associate","17693","12/03/2019","Hacking/IT Incident","Email","Yes",""
"Sunshine Behavioral Health Group, LLC","CA","Business Associate","3500","12/02/2019","Unauthorized Access/Disclosure","Other","Yes",""
"RiverKids Pediatric Home Health","TX","Healthcare Provider","10000","12/02/2019","Hacking/IT Incident","Email","No",""
"Katherine Shaw Bethea Hospital ","IL","Healthcare Provider","1486","11/30/2019","Hacking/IT Incident","Email","No",""
"San Francisco VA Health Care System","CA","Healthcare Provider","735","11/29/2019","Theft","Other, Paper/Films","No",""
"Nebraska Medicine","NE","Healthcare Provider","1149","11/27/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Ivy Rehab Network, Inc. and its affiliated companies","NY","Healthcare Provider","125000","11/26/2019","Hacking/IT Incident","Email","No",""
"Illinois Gastroenterology Group, LLC","IL","Healthcare Provider","1481","11/25/2019","Hacking/IT Incident","Email","No",""
"Penn-Mar Human Services","MD","Healthcare Provider","536","11/25/2019","Hacking/IT Incident","Email","No",""
"La Clinica de La Raza, Inc.","CA","Healthcare Provider","2477","11/22/2019","Theft","Other Portable Electronic Device","No",""
"Elizabeth Family Health ","CO","Healthcare Provider","28375","11/22/2019","Theft","Paper/Films","No",""
"GeneDx, Inc. ","NJ","Healthcare Provider","851","11/22/2019","Hacking/IT Incident","Network Server, Other","Yes",""
"Southeastern Minnesota Oral & Maxillofacial Surgery","MN","Healthcare Provider","80000","11/22/2019","Hacking/IT Incident","Network Server","No",""
"OmniSeq, Inc.","NY","Healthcare Provider","3977","11/21/2019","Hacking/IT Incident","Email","No",""
"VA St. Louis Health Care System","MO","Healthcare Provider","595","11/21/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Saint Francis Medical Center","MO","Healthcare Provider","107054","11/20/2019","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Human Services, Inc.","PA","Healthcare Provider","1559","11/18/2019","Hacking/IT Incident","Email","No",""
"Medical Park Family Care, Inc.","AK","Healthcare Provider","500","11/18/2019","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"Choice Cancer Care","TX","Healthcare Provider","14673","11/15/2019","Hacking/IT Incident","Email","No",""
"Gateway Health Plan LP","PA","Health Plan","753","11/14/2019","Hacking/IT Incident","Email","Yes",""
"Solara Medical Supplies, LLC","CA","Healthcare Provider","114007","11/13/2019","Hacking/IT Incident","Email","No",""
"Select Health Network","IN","Business Associate","3582","11/13/2019","Hacking/IT Incident","Email","Yes",""
"University of North Carolina at Chapel Hill School of Medicine","NC","Healthcare Provider","3716","11/12/2019","Hacking/IT Incident","Email","No",""
"Starling Physicians, P.C.","CT","Healthcare Provider","977","11/11/2019","Hacking/IT Incident","Email","No",""
"Arizona Dental Insurance Services, Inc. d.b.a. Delta Dental of Arizona","AZ","Health Plan","12886","11/08/2019","Hacking/IT Incident","Email","No",""
"Main Street Clinical Associates","NC","Healthcare Provider","3031","11/08/2019","Unauthorized Access/Disclosure","Laptop, Other Portable Electronic Device, Paper/Films","No",""
"Outreach Health Services","TX","Healthcare Provider","500","11/08/2019","Hacking/IT Incident","Email","No",""
"Kaiser Foundation Health Plan (Kaiser Permanente)","CA","Health Plan","515","11/07/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Aegis Medical Group","FL","Healthcare Provider","9800","11/07/2019","Unauthorized Access/Disclosure","Electronic Medical Record, Laptop, Network Server, Paper/Films","No",""
"The Brooklyn Hospital Center","NY","Healthcare Provider","26312","11/01/2019","Hacking/IT Incident","Network Server","No",""
"Washington University School of Medicine","MO","Healthcare Provider","3237","11/01/2019","Unauthorized Access/Disclosure","Email, Laptop","No",""
"Evergreen Psychological Services","TX","Healthcare Provider","4174","11/01/2019","Theft","Desktop Computer","No",""
"Utah Valley Eye Center","UT","Healthcare Provider","20418","11/01/2019","Hacking/IT Incident","Desktop Computer","No",""
"Prisma Health - Midlands","SC","Healthcare Provider","19060","10/28/2019","Hacking/IT Incident","Other","No",""
"The Guidance Center ","CA","Healthcare Provider","1189","10/28/2019","Hacking/IT Incident","Email","No",""
"Betty Jean Kerr People's Health Centers","MO","Healthcare Provider","152000","10/25/2019","Hacking/IT Incident","Network Server","No",""
"Corpus Christi Tots & Teens Pediatrics","TX","Healthcare Provider","31787","10/24/2019","Hacking/IT Incident","Network Server","No",""
"The Affiliated Sante Group","MD","Healthcare Provider","679","10/24/2019","Theft","Laptop","No",""
"Wheatland Dental Care","IL","Healthcare Provider","955","10/24/2019","Hacking/IT Incident","Other","Yes",""
"Kalispell Regional Healthcare","MT","Healthcare Provider","140209","10/22/2019","Hacking/IT Incident","Email","No",""
"Texas Health Harris Methodist Hospital Hurst-Euless-Bedford","TX","Healthcare Provider","4804","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Dallas","TX","Healthcare Provider","12415","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Alliance","TX","Healthcare Provider","3784","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Denton","TX","Healthcare Provider","6688","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Azle","TX","Healthcare Provider","2113","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Cleburne","TX","Healthcare Provider","2737","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Southwest Fort Worth","TX","Healthcare Provider","7478","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Rockwall","TX","Healthcare Provider","4789","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Stephenville","TX","Healthcare Provider","1348","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Southlake","TX","Healthcare Provider","525","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Arlington Memorial","TX","Healthcare Provider","6187","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Plano","TX","Healthcare Provider","9678","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
" Texas Health Harris Methodist Hospital Kaufman","TX","Healthcare Provider","2157","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Fort Worth","TX","Healthcare Provider","14881","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Allen","TX","Healthcare Provider","2993","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Self Regional Healthcare","SC","Healthcare Provider","2661","10/21/2019","Hacking/IT Incident","Email","No",""
"United States Medical Supply, LLC.","FL","Healthcare Provider","674","10/18/2019","Unauthorized Access/Disclosure","Email","No",""
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider","584","10/18/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Buckhead Smile Center, P.C.","GA","Healthcare Provider","1655","10/17/2019","Unauthorized Access/Disclosure","Email","No",""
"Artesia General Hospital","NM","Healthcare Provider","858","10/17/2019","Hacking/IT Incident","Desktop Computer","No",""
"Walmart Inc.","AR","Healthcare Provider","4211","10/17/2019","Loss","Other Portable Electronic Device","No",""
"LaBorde Therapy Center LLC","LA","Healthcare Provider","7000","10/16/2019","Hacking/IT Incident","Email","No",""
"Hamlin & Burton Liability Management, Inc.","FL","Business Associate","1500","10/14/2019","Hacking/IT Incident","Email","Yes",""
"Southern New Mexico Neurosurgery LLC","NM","Healthcare Provider","11754","10/14/2019","Improper Disposal","Electronic Medical Record, Network Server","No",""
"Central Valley Regional Center","CA","Business Associate","15975","10/11/2019","Hacking/IT Incident","Email","Yes",""
"Magnolia Pediatrics","LA","Healthcare Provider","11100","10/09/2019","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server","No",""
"Humana Inc ","KY","Health Plan","756","10/02/2019","Unauthorized Access/Disclosure","Email","No",""
"Telecare Corporation","CA","Healthcare Provider","823","09/30/2019","Hacking/IT Incident","Email","No",""
"CHI Health Orthopedics Clinic -Lakeside","NE","Healthcare Provider","48000","09/30/2019","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Choctaw Nation Health Service Authority","OK","Healthcare Provider","500","09/27/2019","Hacking/IT Incident","Email","No",""
"Beatitudes Campus ","AZ","Healthcare Provider","514","09/27/2019","Hacking/IT Incident","Email","No",""
"Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center","GA","Healthcare Provider","3290","09/27/2019","Hacking/IT Incident","Email","No",""
"Women's Care Florida, LLC","FL","Healthcare Provider","528188","09/25/2019","Hacking/IT Incident","Network Server","No",""
"Perfect Teeth Yale, P.C.","CO","Healthcare Provider","15000","09/19/2019","Loss","Other Portable Electronic Device","No",""
"Chirobody","WA","Healthcare Provider","525","09/19/2019","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Little Rock Plastic Surgery, P.A.","AR","Healthcare Provider","6300","09/18/2019","Unauthorized Access/Disclosure","Email","No",""
"Medico of South Carolina, Inc.","SC","Business Associate","6489","09/17/2019","Unauthorized Access/Disclosure","Network Server","Yes",""
"Magellan Healthcare","MD","Business Associate","55637","09/17/2019","Hacking/IT Incident","Email","Yes",""
"National Imaging Associates","MD","Business Associate","589","09/17/2019","Hacking/IT Incident","Email","Yes",""
"Intramural Practice Plan - Medical Sciences Campus - University of Puerto Rico","","Healthcare Provider","439753","09/16/2019","Hacking/IT Incident","Network Server","No",""
"Sweetser ","ME","Healthcare Provider","22000","09/13/2019","Hacking/IT Incident","Email","No",""
"Kilgore Vision Center","AR","Healthcare Provider","40000","09/13/2019","Hacking/IT Incident","Network Server","No",""
"Peoples Injury Network Northwest","WA","Healthcare Provider","27000","09/12/2019","Hacking/IT Incident","Network Server","No",""
"Sarrell Dental","AL","Healthcare Provider","391472","09/12/2019","Hacking/IT Incident","Network Server","No",""
"June E. Nylen Cancer Center","IA","Healthcare Provider","927","09/11/2019","Hacking/IT Incident","Email","No",""
"Cristo Rey Community Center - Family Health Center","MI","Healthcare Provider","1500","09/10/2019","Hacking/IT Incident","Network Server","No",""
"Lindner Center of Hope","OH","Healthcare Provider","3537","09/09/2019","Hacking/IT Incident","Email","No",""
"Berry Family Services","TX","Healthcare Provider","1751","09/08/2019","Hacking/IT Incident","Network Server","No",""
"Premier Family Medical","UT","Healthcare Provider","320000","09/07/2019","Hacking/IT Incident","Network Server","No",""
"Prisma - Midlands ","SC","Healthcare Provider","2770","09/06/2019","Theft","Paper/Films","No",""
